territoire_code;territoire_name;territoire_type
45234;Orléans;2
76540;Rouen;2
14118;Caen;2
54395;Nancy;2
59599;Tourcoing;2
60057;Beauvais;2
86194;Poitiers;2
27229;Évreux;2
64445;Pau;2
18033;Bourges;2
29232;Quimper;2
82121;Montauban;2
11262;Narbonne;2
06004;Antibes;2
17300;Rochelle (La);2
68066;Colmar;2
65440;Tarbes;2
06029;Cannes;2
59009;Villeneuve-d'Ascq;2
10387;Troyes;2
81004;Albi;2
81065;Castres;2
19031;Brive-la-Gaillarde;2
83126;Seyne-sur-Mer (La);2
44184;Saint-Nazaire;2
26362;Valence;2
36044;Châteauroux;2
33281;Mérignac;2
89024;Auxerre;2
05061;Gap;2
41018;Blois;2
51108;Châlons-en-Champagne;2
69259;Vénissieux;2
73065;Chambéry;2
13004;Arles;2
33318;Pessac;2
64102;Bayonne;2
06069;Grasse;2
56121;Lorient;2
17415;Saintes;2
71076;Chalon-sur-Saône;2
24037;Bergerac;2
28085;Chartres;2
83069;Hyères;2
35288;Saint-Malo;2
58194;Nevers;2
56260;Vannes;2
01053;Bourg-en-Bresse;2
38053;Bourgoin-Jallieu;2
51230;Épernay;2
16015;Angoulême;2
74010;Annecy;2
83050;Draguignan;2
26281;Romans-sur-Isère;2
73008;Aix-les-Bains;2
62041;Arras;2
30007;Alès;2
03185;Montluçon;2
88160;Épinal;2
54528;Toul;2
73011;Albertville;2
13103;Salon-de-Provence;2
06027;Cagnes-sur-Mer;2
60159;Compiègne;2
22278;Saint-Brieuc;2
13005;Aubagne;2
61001;Alençon;2
59328;Lambersart;2
49328;Saumur;2
17299;Rochefort;2
67218;Illkirch-Graffenstaden;2
39198;Dole;2
56007;Auray;2
74081;Cluses;2
59606;Valenciennes;2
38544;Vienne;2
69264;Villefranche-sur-Saône;2
44162;Saint-Herblain;2
16102;Cognac;2
24322;Périgueux;2
06030;Cannet (Le);2
37122;Joué-lès-Tours;2
69290;Saint-Priest;2
69034;Caluire-et-Cuire;2
17306;Royan;2
09225;Pamiers;2
33522;Talence;2
14366;Lisieux;2
31395;Muret;2
47001;Agen;2
